FPOA_06587	CCT62386.1	27.49	331	209	9	973	1282	828	1148	2e-23	  107
FPOA_06588	CCT62386.1	28.57	140	75	7	858	976	828	963	8e-05	45.8
FPOA_06589	CCT74226.1	44.83	261	131	4	3	263	1	248	5e-68	  216
FPOA_06590	CCT71444.1	47.06	34	16	2	59	91	15	47	3.2	26.2
FPOA_06591	CCT76044.1	33.45	553	309	14	1	526	1	521	8e-89	  285
FPOA_06592	CCT69952.1	34.09	44	27	2	23	64	531	574	2.6	26.9
FPOA_06593	CCT73758.1	68.35	139	44	0	194	332	126	264	4e-65	  209
FPOA_06594	CCT76035.1	37.50	48	30	0	17	64	336	383	0.002	35.0
FPOA_06595	CCT76082.1	32.71	376	200	11	1	357	1155	1496	7e-50	  182
FPOA_06596	CCT74473.1	69.44	216	66	0	1	216	1	216	5e-115	  330
FPOA_06597	CCT69205.1	83.91	348	55	1	1	347	1	348	0.0	  604
FPOA_06598	CCT69204.1	87.84	551	66	1	1	550	1	551	0.0	 1014
FPOA_06599	CCT75907.1	44.63	121	66	1	1	120	1	121	2e-34	  117
FPOA_06600	CCT72768.1	52.79	341	149	3	822	1156	59	393	1e-105	  340
FPOA_06601	CCT65448.1	83.33	534	80	4	5	531	4	535	0.0	  884
FPOA_06602	CCT63778.1	45.71	35	18	1	156	189	158	192	3.9	28.5
FPOA_06603	CCT75534.1	67.47	578	109	9	1	557	1	520	0.0	  689
FPOA_06604	CCT75036.1	66.58	781	239	3	17	775	21	801	0.0	 1071
FPOA_06605	CCT64505.1	18.67	166	125	2	71	226	204	369	0.24	32.3
FPOA_06606	CCT72942.1	83.40	253	41	1	3	255	6	257	7e-159	  445
FPOA_06607	CCT71721.1	43.27	1026	519	19	1	1011	16	993	0.0	  734
FPOA_06608	CCT72999.1	61.74	298	113	1	1	298	1	297	2e-128	  374
FPOA_06609	CCT76076.1	58.90	691	256	6	1	682	1	672	0.0	  811
FPOA_06610	CCT76075.1	76.51	1443	302	4	2	1442	8	1415	0.0	 2322
FPOA_06611	CCT74991.1	36.96	92	52	2	1	92	1	86	0.033	34.3
FPOA_06612	CCT74256.1	64.81	628	216	3	1	625	49	674	0.0	  861
FPOA_06613	CCT66560.1	74.63	201	51	0	222	422	224	424	1e-115	  348
FPOA_06614	CCT65248.1	80.80	750	138	3	1	747	1	747	0.0	 1251
FPOA_06615	CCT64981.1	65.41	399	135	2	1	397	1	398	6e-170	  484
FPOA_06616	CCT64992.1	82.85	274	32	4	13	272	705	977	2e-150	  448
FPOA_06617	CCT64994.1	85.68	391	53	3	1	389	1	390	0.0	  678
